symbol,isin,source
SWIGGY,INE00H001014,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TATACONSUM,INE192A01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TATAELXSI,INE670A01012,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TATAPOWER,INE245A01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TATASTEEL,INE081A01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TCS,INE467B01029,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TECHM,INE669C01036,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TIINDIA,INE974X01010,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TITAN,INE280A01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TMPV,INE155A01022,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TORNTPHARM,INE685A01028,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TRENT,INE849A01020,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
TVSMOTOR,INE494B01023,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ULTRACEMCO,INE481G01011,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
UNIONBANK,INE692A01016,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
UNITDSPR,INE854D01024,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
UNOMINDA,INE405E01023,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
UPL,INE628A01036,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
VBL,INE200M01039,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
VEDL,INE205A01025,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
VMM,INE01EA01019,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
VOLTAS,INE226A01021,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
WAAREEENER,INE377N01017,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
WIPRO,INE075A01022,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
YESBANK,INE528G01035,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
ZYDUSLIFE,INE010B01027,https://nsearchives.nseindia.com/content/fo/fo_mktlots.csv
