Ticker,Company,Sector,MarketCapCategory,Group
ADANIPOWER.NS,Adani Power,Power,LargeCap,NiftyNext50
AMBUJACEM.NS,Ambuja Cements,Cement,LargeCap,NiftyNext50
BAJAJHLDNG.NS,Bajaj Holdings and Investment,Financial Services,LargeCap,NiftyNext50
BANKBARODA.NS,Bank of Baroda,Financial Services,LargeCap,NiftyNext50
BHEL.NS,Bharat Heavy Electricals,Capital Goods,LargeCap,NiftyNext50
BOSCHLTD.NS,Bosch,Automobile,LargeCap,NiftyNext50
CANBK.NS,Canara Bank,Financial Services,LargeCap,NiftyNext50
ABCAPITAL.NS,Aditya Birla Capital,Financial Services,LargeCap,NiftyNext50
CGPOWER.NS,CG Power and Industrial Solutions,Capital Goods,LargeCap,NiftyNext50
CHOLAFIN.NS,Cholamandalam Investment and Finance,Financial Services,LargeCap,NiftyNext50
DABUR.NS,Dabur India,Consumer Goods,LargeCap,NiftyNext50
DLF.NS,DLF,Real Estate,LargeCap,NiftyNext50
DMART.NS,Avenue Supermarts,Consumer Services,LargeCap,NiftyNext50
GAIL.NS,GAIL India,Energy,LargeCap,NiftyNext50
GODREJCP.NS,Godrej Consumer Products,Consumer Goods,LargeCap,NiftyNext50
HAL.NS,Hindustan Aeronautics,Capital Goods,LargeCap,NiftyNext50
HAVELLS.NS,Havells India,Consumer Durables,LargeCap,NiftyNext50
INDHOTEL.NS,Indian Hotels Company,Consumer Services,LargeCap,NiftyNext50
ICICIGI.NS,ICICI Lombard General Insurance,Financial Services,LargeCap,NiftyNext50
ICICIPRULI.NS,ICICI Prudential Life Insurance,Financial Services,LargeCap,NiftyNext50
INDIGO.NS,InterGlobe Aviation,Services,LargeCap,NiftyNext50
IRFC.NS,Indian Railway Finance Corporation,Financial Services,LargeCap,NiftyNext50
JINDALSTEL.NS,Jindal Steel and Power,Metals,LargeCap,NiftyNext50
JSWENERGY.NS,JSW Energy,Power,LargeCap,NiftyNext50
LICI.NS,Life Insurance Corporation of India,Financial Services,LargeCap,NiftyNext50
LODHA.NS,Macrotech Developers,Real Estate,LargeCap,NiftyNext50
OFSS.NS,Oracle Financial Services Software,Information Technology,LargeCap,NiftyNext50
MANKIND.NS,Mankind Pharma,Healthcare,LargeCap,NiftyNext50
MAXHEALTH.NS,Max Healthcare Institute,Healthcare,LargeCap,NiftyNext50
MOTHERSON.NS,Samvardhana Motherson International,Automobile,LargeCap,NiftyNext50
NAUKRI.NS,Info Edge India,Consumer Services,LargeCap,NiftyNext50
NHPC.NS,NHPC,Power,LargeCap,NiftyNext50
PFC.NS,Power Finance Corporation,Financial Services,LargeCap,NiftyNext50
PIDILITIND.NS,Pidilite Industries,Chemicals,LargeCap,NiftyNext50
PNB.NS,Punjab National Bank,Financial Services,LargeCap,NiftyNext50
RECLTD.NS,REC,Financial Services,LargeCap,NiftyNext50
SHREECEM.NS,Shree Cement,Cement,LargeCap,NiftyNext50
SIEMENS.NS,Siemens,Capital Goods,LargeCap,NiftyNext50
TATAPOWER.NS,Tata Power,Power,LargeCap,NiftyNext50
TORNTPHARM.NS,Torrent Pharmaceuticals,Healthcare,LargeCap,NiftyNext50
TRENT.NS,Trent,Consumer Services,LargeCap,NiftyNext50
TVSMOTOR.NS,TVS Motor Company,Automobile,LargeCap,NiftyNext50
UNIONBANK.NS,Union Bank of India,Financial Services,LargeCap,NiftyNext50
VBL.NS,Varun Beverages,Consumer Goods,LargeCap,NiftyNext50
VEDL.NS,Vedanta,Metals,LargeCap,NiftyNext50
ETERNAL.NS,Eternal,Consumer Services,LargeCap,NiftyNext50
ZYDUSLIFE.NS,Zydus Lifesciences,Healthcare,LargeCap,NiftyNext50
ACC.NS,ACC,Cement,MidCap,DiversifiedMidcap
APLAPOLLO.NS,APL Apollo Tubes,Metals,MidCap,DiversifiedMidcap
AUBANK.NS,AU Small Finance Bank,Financial Services,MidCap,DiversifiedMidcap
ALKEM.NS,Alkem Laboratories,Healthcare,MidCap,DiversifiedMidcap
ASHOKLEY.NS,Ashok Leyland,Automobile,MidCap,DiversifiedMidcap
ASTRAL.NS,Astral,Industrials,MidCap,DiversifiedMidcap
AUROPHARMA.NS,Aurobindo Pharma,Healthcare,MidCap,DiversifiedMidcap
BALKRISIND.NS,Balkrishna Industries,Automobile,MidCap,DiversifiedMidcap
BANDHANBNK.NS,Bandhan Bank,Financial Services,MidCap,DiversifiedMidcap
BANKINDIA.NS,Bank of India,Financial Services,MidCap,DiversifiedMidcap
BDL.NS,Bharat Dynamics,Capital Goods,MidCap,DiversifiedMidcap
BHARATFORG.NS,Bharat Forge,Automobile,MidCap,DiversifiedMidcap
BIOCON.NS,Biocon,Healthcare,MidCap,DiversifiedMidcap
COFORGE.NS,Coforge,Information Technology,MidCap,DiversifiedMidcap
COLPAL.NS,Colgate Palmolive India,Consumer Goods,MidCap,DiversifiedMidcap
CONCOR.NS,Container Corporation of India,Services,MidCap,DiversifiedMidcap
CUMMINSIND.NS,Cummins India,Capital Goods,MidCap,DiversifiedMidcap
DALBHARAT.NS,Dalmia Bharat,Cement,MidCap,DiversifiedMidcap
DEEPAKNTR.NS,Deepak Nitrite,Chemicals,MidCap,DiversifiedMidcap
DELHIVERY.NS,Delhivery,Services,MidCap,DiversifiedMidcap
DIXON.NS,Dixon Technologies,Consumer Durables,MidCap,DiversifiedMidcap
ESCORTS.NS,Escorts Kubota,Automobile,MidCap,DiversifiedMidcap
FEDERALBNK.NS,Federal Bank,Financial Services,MidCap,DiversifiedMidcap
FORTIS.NS,Fortis Healthcare,Healthcare,MidCap,DiversifiedMidcap
