Rank,Ticker,Sector,MarketCapCategory,P_Outperform,P_Neutral,P_Underperform,Predicted_Class,Company,Group,Data Date
76,BEL.NS,Capital Goods,LargeCap,0.28706200046637304,0.4111097231456934,0.3018282763879342,0,Bharat Electronics,Existing10,2026-08-14
77,PNB.NS,Financial Services,LargeCap,0.28693545892637207,0.40178184073812373,0.311282700335505,0,Punjab National Bank,NiftyNext50,2026-08-14
78,NHPC.NS,Power,LargeCap,0.2867128072260615,0.33175045650579216,0.38153673626814816,-1,NHPC,NiftyNext50,2026-08-14
79,MPHASIS.NS,Information Technology,MidCap,0.2866893236718858,0.3664444517742509,0.3468662245538658,0,Mphasis,DiversifiedMidcap,2026-08-14
80,INDUSINDBK.NS,Financial Services,LargeCap,0.2866556293133908,0.39505140326018334,0.3182929674264285,0,IndusInd Bank,Nifty50Additional,2026-08-14
81,INDUSTOWER.NS,Telecom,MidCap,0.28451180340959586,0.41573068356671583,0.2997575130236893,0,Indus Towers,DiversifiedMidcap,2026-08-14
82,BPCL.NS,Energy,LargeCap,0.2825197089566103,0.3896900432835887,0.3277902477597999,0,Bharat Petroleum Corporation,Nifty50Additional,2026-08-14
83,LICHSGFIN.NS,Financial Services,MidCap,0.28128413690783977,0.4185888690609183,0.30012699403124365,0,LIC Housing Finance,DiversifiedMidcap,2026-08-14
84,AXISBANK.NS,Financial Services,LargeCap,0.2803898491841224,0.4470353834965794,0.27257476731930097,0,Axis Bank,Nifty50Additional,2026-08-14
85,NESTLEIND.NS,Consumer Goods,LargeCap,0.27907338510929813,0.3971021948410121,0.32382442004969214,0,Nestle India,Nifty50Additional,2026-08-14
86,ONGC.NS,Energy,LargeCap,0.2789803940910383,0.4091983237341758,0.31182128217478516,0,Oil and Natural Gas Corporation,Nifty50Additional,2026-08-14
87,HCLTECH.NS,Information Technology,LargeCap,0.2782489628401917,0.38134120086045503,0.3404098362993573,0,HCL Technologies,Nifty50Additional,2026-08-14
88,NMDC.NS,Metals,MidCap,0.2781326681641625,0.35088443060541014,0.3709829012304291,-1,NMDC,DiversifiedMidcap,2026-08-14
89,PETRONET.NS,Energy,MidCap,0.27810476297330367,0.406713901067417,0.31518133595927866,0,Petronet LNG,DiversifiedMidcap,2026-08-14
90,ADANIENT.NS,Diversified,LargeCap,0.274465963567244,0.37099930741343,0.354534729019327,0,Adani Enterprises,Nifty50Additional,2026-08-14
91,DIVISLAB.NS,Healthcare,LargeCap,0.2733813891776889,0.38113573175803445,0.34548287906427727,0,Divi's Laboratories,Nifty50Additional,2026-08-14
92,HONAUT.NS,Capital Goods,MidCap,0.27139088458892163,0.39449897864075373,0.33411013677032486,0,Honeywell Automation India,DiversifiedMidcap,2026-08-14
93,COALINDIA.NS,Energy,LargeCap,0.2700637302921173,0.4339727092510613,0.2959635604568223,0,Coal India,Nifty50Additional,2026-08-14
94,HINDALCO.NS,Metals,LargeCap,0.26884615223714053,0.3972712835101511,0.33388256425271223,0,Hindalco Industries,Nifty50Additional,2026-08-14
95,ABB.NS,Capital Goods,LargeCap,0.2685190798744993,0.3541408328927103,0.37734008723279255,-1,ABB India,NiftyNext50,2026-08-14
96,OBEROIRLTY.NS,Real Estate,MidCap,0.2678431522618443,0.41759454958921954,0.3145622981489387,0,Oberoi Realty,DiversifiedMidcap,2026-08-14
97,ITC.NS,Consumer Goods,LargeCap,0.2674981944797166,0.4276829700804439,0.3048188354398413,0,ITC,Existing10,2026-08-14
98,DEEPAKNTR.NS,Chemicals,MidCap,0.2668277992270866,0.41520071148107357,0.31797148929184527,0,Deepak Nitrite,DiversifiedMidcap,2026-08-14
99,TRENT.NS,Consumer Services,LargeCap,0.26635961862976726,0.34982286481058855,0.3838175165596452,-1,Trent,NiftyNext50,2026-08-14
100,LTTS.NS,Information Technology,MidCap,0.26594268800353327,0.3883928884118832,0.34566442358458577,0,L&T Technology Services,DiversifiedMidcap,2026-08-14
101,CIPLA.NS,Healthcare,LargeCap,0.2659310179300816,0.40234611623304695,0.3317228658368709,0,Cipla,Nifty50Additional,2026-08-14
102,TATASTEEL.NS,Metals,LargeCap,0.26577677659267473,0.418459629524409,0.31576359388291597,0,Tata Steel,Existing10,2026-08-14
103,INDHOTEL.NS,Consumer Services,LargeCap,0.26576113881494395,0.4447525818836674,0.2894862793013886,0,Indian Hotels Company,NiftyNext50,2026-08-14
104,SHREECEM.NS,Cement,LargeCap,0.265552395060834,0.42604115066061027,0.3084064542785595,0,Shree Cement,NiftyNext50,2026-08-14
105,WIPRO.NS,Information Technology,LargeCap,0.2643006494040965,0.42166732478211844,0.31403202581378775,0,Wipro,Nifty50Additional,2026-08-14
106,NTPC.NS,Power,LargeCap,0.2637804209369208,0.43090509629263846,0.3053144827704429,0,NTPC,Nifty50Additional,2026-08-14
107,APLAPOLLO.NS,Metals,MidCap,0.26370054305719454,0.3926248973046598,0.3436745596381496,0,APL Apollo Tubes,DiversifiedMidcap,2026-08-14
108,KOTAKBANK.NS,Financial Services,LargeCap,0.2633421741956269,0.4328646306358389,0.30379319516853714,0,Kotak Mahindra Bank,Nifty50Additional,2026-08-14
109,TITAN.NS,Consumer Durables,LargeCap,0.26292742669389796,0.39567577941772125,0.3413967938883833,0,Titan Company,Nifty50Additional,2026-08-14
110,TECHM.NS,Information Technology,LargeCap,0.2623588642271246,0.41999148931498775,0.3176496464578906,0,Tech Mahindra,Nifty50Additional,2026-08-14
111,DALBHARAT.NS,Cement,MidCap,0.2619152299817006,0.418129513433543,0.3199552565847583,0,Dalmia Bharat,DiversifiedMidcap,2026-08-14
112,DMART.NS,Consumer Services,LargeCap,0.2618973103728795,0.38728399953219783,0.35081869009492467,0,Avenue Supermarts,NiftyNext50,2026-08-14
113,ICICIBANK.NS,Financial Services,LargeCap,0.2606372877627947,0.4440170863266674,0.2953456259105393,0,ICICI Bank,Existing10,2026-08-14
114,ALKEM.NS,Healthcare,MidCap,0.2606202638270887,0.39721946985477286,0.34216026631813934,0,Alkem Laboratories,DiversifiedMidcap,2026-08-14
115,MARICO.NS,Consumer Goods,MidCap,0.26055464634114744,0.44171939381950653,0.2977259598393479,0,Marico,DiversifiedMidcap,2026-08-14
116,INDIGO.NS,Services,LargeCap,0.26033766800446323,0.374541486508102,0.3651208454874373,0,InterGlobe Aviation,NiftyNext50,2026-08-14
117,DIXON.NS,Consumer Durables,MidCap,0.2598779737996847,0.33916193136405826,0.40096009483625755,-1,Dixon Technologies,DiversifiedMidcap,2026-08-14
118,BOSCHLTD.NS,Automobile,LargeCap,0.2598523467622129,0.3824828421011498,0.3576648111366401,0,Bosch,NiftyNext50,2026-08-14
119,BAJAJHLDNG.NS,Financial Services,LargeCap,0.2597649993892113,0.3976063942398846,0.3426286063709074,0,Bajaj Holdings and Investment,NiftyNext50,2026-08-14
120,CUMMINSIND.NS,Capital Goods,MidCap,0.259683418426028,0.3755733828618893,0.3647431987120845,0,Cummins India,DiversifiedMidcap,2026-08-14
121,SBILIFE.NS,Financial Services,LargeCap,0.25798586582016714,0.4361173056666854,0.30589682851314937,0,SBI Life Insurance,Nifty50Additional,2026-08-14
122,PIDILITIND.NS,Chemicals,LargeCap,0.25667749739768697,0.4256574434892572,0.31766505911306,0,Pidilite Industries,NiftyNext50,2026-08-14
123,SIEMENS.NS,Capital Goods,LargeCap,0.2564389951796524,0.40744510805018197,0.3361158967701675,0,Siemens,NiftyNext50,2026-08-14
124,JSL.NS,Metals,MidCap,0.2564200939368176,0.442761842224837,0.30081806383834947,0,Jindal Stainless,DiversifiedMidcap,2026-08-14
125,SUNPHARMA.NS,Healthcare,LargeCap,0.2560320062589192,0.4396112009413403,0.30435679279974204,0,Sun Pharmaceutical Industries,Existing10,2026-08-14
126,M&M.NS,Automobile,LargeCap,0.2557231332013045,0.42124332685475896,0.3230335399439414,0,Mahindra & Mahindra,Existing10,2026-08-14
127,TATAPOWER.NS,Power,LargeCap,0.25523958572642624,0.4323242135905534,0.31243620068302297,0,Tata Power,NiftyNext50,2026-08-14
128,MARUTI.NS,Automobile,LargeCap,0.254651548541829,0.4160271888564139,0.32932126260176003,0,Maruti Suzuki India,Nifty50Additional,2026-08-14
129,HAVELLS.NS,Consumer Durables,LargeCap,0.25392663965805656,0.42402173572425395,0.32205162461769304,0,Havells India,NiftyNext50,2026-08-14
130,TORNTPHARM.NS,Healthcare,LargeCap,0.2539071935279957,0.3806015615054539,0.36549124496655255,0,Torrent Pharmaceuticals,NiftyNext50,2026-08-14
131,SBIN.NS,Financial Services,LargeCap,0.2536456067835267,0.4256411401134135,0.3207132531030616,0,State Bank of India,Nifty50Additional,2026-08-14
132,POWERGRID.NS,Power,LargeCap,0.253321822824861,0.4332870577008314,0.3133911194743102,0,Power Grid Corporation of India,Nifty50Additional,2026-08-14
133,HAL.NS,Capital Goods,LargeCap,0.2532599124006499,0.41301465359508377,0.33372543400426863,0,Hindustan Aeronautics,NiftyNext50,2026-08-14
134,MRF.NS,Automobile,MidCap,0.2531568362029421,0.4367624376745446,0.31008072612251547,0,MRF,DiversifiedMidcap,2026-08-14
135,JSWSTEEL.NS,Metals,LargeCap,0.25261761387166426,0.4448010238288299,0.3025813622995079,0,JSW Steel,Nifty50Additional,2026-08-14
136,JINDALSTEL.NS,Metals,LargeCap,0.2525179034035344,0.435259980978996,0.31222211561747276,0,Jindal Steel and Power,NiftyNext50,2026-08-14
137,BHARTIARTL.NS,Telecom,LargeCap,0.2500538471811038,0.438598709920765,0.3113474428981345,0,Bharti Airtel,Existing10,2026-08-14
138,RELIANCE.NS,Energy,LargeCap,0.24965040995143384,0.44078812434578635,0.3095614657027833,0,Reliance Industries,Existing10,2026-08-14
139,OFSS.NS,Information Technology,LargeCap,0.2494565137840743,0.3168176318580479,0.43372585435787897,-1,Oracle Financial Services Software,NiftyNext50,2026-08-14
140,LT.NS,Capital Goods,LargeCap,0.24867356650414016,0.41210849005065925,0.33921794344520295,0,Larsen & Toubro,Existing10,2026-08-14
141,ULTRACEMCO.NS,Cement,LargeCap,0.24864260525306078,0.43079160733668015,0.3205657874102618,0,UltraTech Cement,Nifty50Additional,2026-08-14
142,TVSMOTOR.NS,Automobile,LargeCap,0.24850489004713802,0.3956988326068091,0.35579627734605634,0,TVS Motor Company,NiftyNext50,2026-08-14
143,ESCORTS.NS,Automobile,MidCap,0.24824248844327945,0.41396188209158086,0.3377956294651435,0,Escorts Kubota,DiversifiedMidcap,2026-08-14
144,BRITANNIA.NS,Consumer Goods,LargeCap,0.24496985160040916,0.4207613984533846,0.33426874994621,0,Britannia Industries,Nifty50Additional,2026-08-14
145,ASIANPAINT.NS,Consumer Durables,LargeCap,0.2437854882218465,0.42923409658586514,0.32698041519229015,0,Asian Paints,Nifty50Additional,2026-08-14
146,HEROMOTOCO.NS,Automobile,LargeCap,0.24357971743469317,0.41784026919915856,0.3385800133661521,0,Hero MotoCorp,Nifty50Additional,2026-08-14
147,EICHERMOT.NS,Automobile,LargeCap,0.24303597090396253,0.4112929669144631,0.3456710621815788,0,Eicher Motors,Nifty50Additional,2026-08-14
148,APOLLOHOSP.NS,Healthcare,LargeCap,0.24250528803722243,0.4047098880419479,0.35278482392083094,0,Apollo Hospitals Enterprise,Nifty50Additional,2026-08-14
149,BAJAJ-AUTO.NS,Automobile,LargeCap,0.24075415526711547,0.40814753955358446,0.35109830517930396,0,Bajaj Auto,Nifty50Additional,2026-08-14
150,GRASIM.NS,Diversified,LargeCap,0.23817028381224914,0.41558266956230416,0.34624704662545064,0,Grasim Industries,Nifty50Additional,2026-08-14
